kepid fits i j k l period prad srad kepmag
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2012088054726_llc.fits 0 0 0 0 37.2236161176 0.64529111012 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2013131215648_llc.fits 0 0 0 1 49.689095569 0.660732810448 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2013011073258_llc.fits 0 0 0 2 40.1572421343 0.956137879214 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010078095331_llc.fits 0 0 0 3 2.37459907659 0.806557347627 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2013098041711_llc.fits 0 0 0 4 31.3546662454 0.505757839617 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0 0 0 5 3.91279107664 0.718287683029 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2009166043257_llc.fits 0 0 0 6 9.95797704488 0.811793198238 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2010174085026_llc.fits 0 0 0 7 36.5299247425 0.758952280337 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2013131215648_llc.fits 0 0 0 8 37.9719527336 0.779021013434 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2009166043257_llc.fits 0 0 0 9 45.8520288087 0.51858445852 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013011073258_llc.fits 0 0 0 10 14.7594010742 0.847824885404 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013098041711_llc.fits 0 0 0 11 36.8678495112 0.8075313456 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010355172524_llc.fits 0 0 0 12 27.4541003685 0.879217983548 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2010265121752_llc.fits 0 0 0 13 12.050865118 0.674568120677 0.47 14.457
